models7 actual data first 30 rows/items


========================================================================================================================
CatBoost_test.parquet
========================================================================================================================
 recency_days  tenure_days  ndays  n_events  n_view  n_cart  n_remove_from_cart  n_purchase  avg_price  purch_amt  churn  user_id
     0.154478     0.134603 1.000000  0.688020  1.070050 0.000000            0.693147    0.000000   0.052860   0.000000      1  4661182
    -0.321788    -0.000346 0.000000 -0.344010 -0.730423 0.500000            0.000000    0.000000  -0.090080   0.000000      1  6217356
     0.733750    -0.000346 0.000000  0.000000 -0.730423 1.000000            0.000000    0.000000  -0.406844   0.000000      1  9794320
    -0.248744     0.781462 1.000000  2.073661  1.508356 3.422745            3.912023    4.248495  -0.460005   4.662495      0 10280338
     0.493418    -0.000346 0.000000 -0.344010 -0.269577 0.000000            0.000000    0.000000  -0.558297   0.000000      1 13383118
     1.082516    -0.000346 0.000000 -0.344010 -0.269577 0.000000            0.000000    0.000000  -0.259351   0.000000      1 18595608
    -0.473803    -0.000115 0.000000  0.000000  0.191268 0.000000            0.000000    0.000000  -0.215796   0.000000      1 22050296
    -0.324941     0.559971 1.000000  1.178670  0.921691 2.000000            2.833213    0.000000   0.125150   0.000000      0 25300038
    -0.838486    -0.000346 0.000000 -0.344010 -0.269577 0.000000            0.000000    0.000000   5.632467   0.000000      1 26472395
     0.060602     0.399293 2.000000  1.062119  1.354240 1.292481            0.693147    1.791759  -0.092750   2.981126      1 27872944
    -0.229044     0.000463 0.000000  0.688020  0.460845 1.729716            0.000000    0.000000  -0.124462   0.000000      1 28129653
     0.381328    -0.000315 0.000000  0.110747  0.000000 0.792481            0.000000    0.000000  -0.291027   0.000000      1 29678219
     0.157345     0.692787 0.584963 -0.142777  0.000000 0.000000            0.000000    0.000000   0.133635   0.000000      1 30911274
     0.076880     0.586270 1.807355  0.277738  0.563334 0.000000            0.000000    0.000000   0.195998   0.000000      1 30967218
    -0.617648     0.026922 0.000000  1.222815  1.552696 1.850220            1.609438    0.000000   0.234518   0.000000      1 31328299
     0.388013    -0.000346 0.000000 -0.344010 -0.269577 0.000000            0.000000    0.000000   0.054444   0.000000      1 32810273
     0.198704    -0.000346 0.000000 -0.344010 -0.730423 0.500000            0.000000    0.000000  -0.101959   0.000000      1 33324336
     0.714079     0.046753 0.584963  0.201233  0.191268 0.500000            0.693147    0.000000  -0.372000   0.000000      1 33535391
    -0.857676     0.000410 0.000000  0.110747  0.339627 0.000000            0.000000    0.000000   0.337552   0.000000      1 34306211
    -0.733276     0.674857 0.584963  0.402466  0.563334 0.792481            0.000000    0.000000  -0.062487   0.000000      1 34344195
     0.449514    -0.000346 0.000000 -0.344010 -0.269577 0.000000            0.000000    0.000000   0.431591   0.000000      1 35376580
    -0.599987    -0.000346 0.000000 -0.142777  0.000000 0.000000            0.000000    0.000000   1.327441   0.000000      1 36654062
    -0.021327     0.000446 0.000000  0.110747  0.339627 0.000000            0.000000    0.000000   0.411051   0.000000      1 37807189
    -0.827155     0.265433 0.584963  0.110747  0.339627 0.000000            0.000000    0.000000  -0.117549   0.000000      1 38069416
     0.122574    -0.000255 0.000000 -0.142777  0.000000 0.000000            0.000000    0.000000   0.902779   0.000000      0 38192170
     0.006083    -0.000158 0.000000 -0.142777  0.000000 0.000000            0.000000    0.000000   1.707558   0.000000      1 38560385
    -0.285223    -0.000227 0.000000  0.000000 -0.730423 1.000000            0.000000    0.000000   0.845695   0.000000      1 38721999
