우편번호,우편번호순서,도이름,시군구이름,읍면동이름,리건물이름,동호,전체주소
730813,11,경상북도,구미시,고아읍,대망리,,경상북도 구미시 고아읍 대망리
730813,1,경상북도,구미시,고아읍,내예리,,경상북도 구미시 고아읍 내예리
745843,41,경상북도,문경시,동로면,적성1리,,경상북도 문경시 동로면 적성1리
745843,21,경상북도,문경시,동로면,생달리,,경상북도 문경시 동로면 생달리
745843,11,경상북도,문경시,동로면,명전리,,경상북도 문경시 동로면 명전리
745843,1,경상북도,문경시,동로면,노은3리,,경상북도 문경시 동로면 노은3리
745844,11,경상북도,문경시,동로면,적성3리,,경상북도 문경시 동로면 적성3리
745844,1,경상북도,문경시,동로면,적성2리,,경상북도 문경시 동로면 적성2리
745850,1,경상북도,문경시,영순면,,,경상북도 문경시 영순면
745851,41,경상북도,문경시,영순면,이목리,,경상북도 문경시 영순면 이목리
745851,31,경상북도,문경시,영순면,왕태리,,경상북도 문경시 영순면 왕태리
745851,21,경상북도,문경시,영순면,오룡리,,경상북도 문경시 영순면 오룡리
745851,11,경상북도,문경시,영순면,달지리,,경상북도 문경시 영순면 달지리
745851,1,경상북도,문경시,영순면,금림리,,경상북도 문경시 영순면 금림리
745852,51,경상북도,문경시,영순면,포내리,,경상북도 문경시 영순면 포내리
745852,41,경상북도,문경시,영순면,의곡3리,,경상북도 문경시 영순면 의곡3리
745852,31,경상북도,문경시,영순면,의곡2리,,경상북도 문경시 영순면 의곡2리
745852,21,경상북도,문경시,영순면,율곡리,,경상북도 문경시 영순면 율곡리
745852,11,경상북도,문경시,영순면,말응리,,경상북도 문경시 영순면 말응리
745852,1,경상북도,문경시,영순면,김용리,,경상북도 문경시 영순면 김용리
745853,21,경상북도,문경시,영순면,의곡리,,경상북도 문경시 영순면 의곡리
745853,11,경상북도,문경시,영순면,의곡1리,,경상북도 문경시 영순면 의곡1리
745853,1,경상북도,문경시,영순면,사근리,,경상북도 문경시 영순면 사근리
745860,1,경상북도,문경시,마성면,,,경상북도 문경시 마성면
745861,41,경상북도,문경시,마성면,외어리,,경상북도 문경시 마성면 외어리
745861,31,경상북도,문경시,마성면,외어3리,,경상북도 문경시 마성면 외어3리
745861,21,경상북도,문경시,마성면,외어2리,,경상북도 문경시 마성면 외어2리
745861,11,경상북도,문경시,마성면,외어1리,,경상북도 문경시 마성면 외어1리
745861,1,경상북도,문경시,마성면,남호리,,경상북도 문경시 마성면 남호리
745862,21,경상북도,문경시,마성면,오천리,,경상북도 문경시 마성면 오천리
745862,11,경상북도,문경시,마성면,신현리,,경상북도 문경시 마성면 신현리
745862,1,경상북도,문경시,마성면,모곡리,,경상북도 문경시 마성면 모곡리
745863,31,경상북도,문경시,마성면,하내리,,경상북도 문경시 마성면 하내리
745863,21,경상북도,문경시,마성면,정리,,경상북도 문경시 마성면 정리
745863,11,경상북도,문경시,마성면,외어4리,,경상북도 문경시 마성면 외어4리
745863,1,경상북도,문경시,마성면,상내리,,경상북도 문경시 마성면 상내리
745870,1,경상북도,문경시,농암면,,,경상북도 문경시 농암면
745871,31,경상북도,문경시,농암면,지동리,,경상북도 문경시 농암면 지동리
745871,21,경상북도,문경시,농암면,선곡리,,경상북도 문경시 농암면 선곡리
745871,11,경상북도,문경시,농암면,사현리,,경상북도 문경시 농암면 사현리
745871,1,경상북도,문경시,농암면,갈동리,,경상북도 문경시 농암면 갈동리
745872,41,경상북도,문경시,농암면,종곡리,,경상북도 문경시 농암면 종곡리
745872,31,경상북도,문경시,농암면,종곡1리,,경상북도 문경시 농암면 종곡1리
745872,21,경상북도,문경시,농암면,연천리,,경상북도 문경시 농암면 연천리
745872,11,경상북도,문경시,농암면,농암2리,,경상북도 문경시 농암면 농암2리
745872,1,경상북도,문경시,농암면,궁기리,,경상북도 문경시 농암면 궁기리
745873,21,경상북도,문경시,농암면,율수리,,경상북도 문경시 농암면 율수리
745873,31,경상북도,문경시,농암면,농암리,,경상북도 문경시 농암면 농암리
745873,11,경상북도,문경시,농암면,농암1리,,경상북도 문경시 농암면 농암1리
745873,1,경상북도,문경시,농암면,내서리,,경상북도 문경시 농암면 내서리
745874,21,경상북도,문경시,농암면,화산리,,경상북도 문경시 농암면 화산리
745874,11,경상북도,문경시,농암면,종곡3리,,경상북도 문경시 농암면 종곡3리
745874,1,경상북도,문경시,농암면,종곡2리,,경상북도 문경시 농암면 종곡2리
745881,1,경상북도,문경시,모전동,,1~81,경상북도 문경시 모전동 1~81
745881,11,경상북도,문경시,모전동,,563~569,경상북도 문경시 모전동 563~569
745882,1,경상북도,문경시,모전동,,82~258,경상북도 문경시 모전동 82~258
745882,11,경상북도,문경시,모전동,,264~298,경상북도 문경시 모전동 264~298
745883,1,경상북도,문경시,모전동,,259~263,경상북도 문경시 모전동 259~263
745883,11,경상북도,문경시,모전동,,601~990,경상북도 문경시 모전동 601~990
745884,1,경상북도,문경시,모전동,,299~562,경상북도 문경시 모전동 299~562
745884,11,경상북도,문경시,모전동,,570~600,경상북도 문경시 모전동 570~600
706789,2,대구광역시,수성구,지산1동,지산보성아파트,,대구광역시 수성구 지산1동 지산보성아파트
706789,12,대구광역시,수성구,지산1동,청산아파트,,대구광역시 수성구 지산1동 청산아파트
706790,2,대구광역시,수성구,지산2동,에덴아파트,,대구광역시 수성구 지산2동 에덴아파트
706790,12,대구광역시,수성구,지산2동,현대아파트,,대구광역시 수성구 지산2동 현대아파트
706790,22,대구광역시,수성구,지산2동,협화맨션,,대구광역시 수성구 지산2동 협화맨션
706791,22,대구광역시,수성구,지산2동,시영2단지아파트,(201~204동),대구광역시 수성구 지산2동 시영2단지아파트 (201~204동)
706791,12,대구광역시,수성구,지산2동,우방아파트,,대구광역시 수성구 지산2동 우방아파트
706791,32,대구광역시,수성구,지산2동,한라타운,,대구광역시 수성구 지산2동 한라타운
706791,2,대구광역시,수성구,지산2동,영남아파트,,대구광역시 수성구 지산2동 영남아파트
706792,2,대구광역시,수성구,지산2동,시영1단지아파트,(101~112동),대구광역시 수성구 지산2동 시영1단지아파트 (101~112동)
706793,2,대구광역시,수성구,파동,대자연1차아파트,,대구광역시 수성구 파동 대자연1차아파트
706793,12,대구광역시,수성구,파동,대자연2차아파트,,대구광역시 수성구 파동 대자연2차아파트
706794,2,대구광역시,수성구,황금1동,가든하이츠2차아파트,,대구광역시 수성구 황금1동 가든하이츠2차아파트
706794,12,대구광역시,수성구,황금1동,경남타운,(8~9동),대구광역시 수성구 황금1동 경남타운 (8~9동)
706794,22,대구광역시,수성구,황금1동,황금3주공아파트,(301~306동),대구광역시 수성구 황금1동 황금3주공아파트 (301~306동)
706795,2,대구광역시,수성구,황금1동,신천지타운,,대구광역시 수성구 황금1동 신천지타운
706795,22,대구광역시,수성구,황금1동,우방1차아파트,,대구광역시 수성구 황금1동 우방1차아파트
706795,32,대구광역시,수성구,황금1동,우방2차아파트,,대구광역시 수성구 황금1동 우방2차아파트
706795,12,대구광역시,수성구,황금1동,신천지하이츠,,대구광역시 수성구 황금1동 신천지하이츠
706796,6,대구광역시,수성구,가천동,사서함,96,대구광역시 수성구 가천동 사서함 96
706797,12,대구광역시,수성구,수성동1가,삼우1차수성타운,(101~103동),대구광역시 수성구 수성동1가 삼우1차수성타운 (101~103동)
706798,6,대구광역시,수성구,이천동,사서함,134,대구광역시 수성구 이천동 사서함 134
706799,6,대구광역시,수성구,만촌동,사서함,503,대구광역시 수성구 만촌동 사서함 503
706800,1,대구광역시,수성구,두산동,,1~138,대구광역시 수성구 두산동 1~138
706801,1,대구광역시,수성구,두산동,,139~745,대구광역시 수성구 두산동 139~745
706802,1,대구광역시,수성구,두산동,,746~954,대구광역시 수성구 두산동 746~954
706802,11,대구광역시,수성구,두산동,, 산13~23,대구광역시 수성구 두산동 산13~23
706803,91,대구광역시,수성구,만촌1동,,1221~1223,대구광역시 수성구 만촌1동 1221~1223
706803,101,대구광역시,수성구,만촌1동,,1284~1287,대구광역시 수성구 만촌1동 1284~1287
706803,111,대구광역시,수성구,만촌1동,,1325~1476,대구광역시 수성구 만촌1동 1325~1476
706803,41,대구광역시,수성구,만촌1동,, 산228,대구광역시 수성구 만촌1동 산228
706803,31,대구광역시,수성구,만촌1동,, 산81~180,대구광역시 수성구 만촌1동 산81~180
706803,71,대구광역시,수성구,만촌1동,, 산420~466,대구광역시 수성구 만촌1동 산420~466
706803,131,대구광역시,수성구,만촌1동,, 산343,대구광역시 수성구 만촌1동 산343
706803,51,대구광역시,수성구,만촌1동,, 산260~264,대구광역시 수성구 만촌1동 산260~264
706803,1,대구광역시,수성구,만촌1동,,1~413,대구광역시 수성구 만촌1동 1~413
706803,81,대구광역시,수성구,만촌1동,,1211,대구광역시 수성구 만촌1동 1211
706803,21,대구광역시,수성구,만촌1동,, 산1~79,대구광역시 수성구 만촌1동 산1~79
706803,121,대구광역시,수성구,만촌1동,, 산341,대구광역시 수성구 만촌1동 산341
706804,11,대구광역시,수성구,만촌1동,,605~648,대구광역시 수성구 만촌1동 605~648
706804,1,대구광역시,수성구,만촌1동,,414~595,대구광역시 수성구 만촌1동 414~595
