"Root","RelativePath","Extension","SizeBytes","LastWriteTime"
"ml_data_preprocessing","ml_data_preprocessing\02_outlier_iqr.py",".py","986","2026-05-27 10:38:02"
"ml_data_preprocessing","ml_data_preprocessing\03_outlier_zscore.py",".py","976","2026-05-27 10:38:02"
"ml_data_preprocessing","ml_data_preprocessing\04_minmax_scaling.py",".py","524","2026-05-27 10:38:02"
"ml_data_preprocessing","ml_data_preprocessing\05_label_encoding.py",".py","708","2026-05-27 11:40:03"
"ml_data_preprocessing","ml_data_preprocessing\from_colab\iris_random_forest_model.pkl",".pkl","167713","2026-05-27 16:16:36"
"ml_data_preprocessing","ml_data_preprocessing\from_colab\iris_scaler.pkl",".pkl","999","2026-05-27 16:16:36"
"ml_data_preprocessing","ml_data_preprocessing\from_colab\ML_sample.ipynb",".ipynb","512724","2026-05-27 16:14:15"
"ml_data_preprocessing","ml_data_preprocessing\from_colab\ml_sample.py",".py","9312","2026-05-27 16:16:21"
"ml_data_preprocessing","ml_data_preprocessing\from_colab\test2_breast_cancer.py",".py","3865","2026-05-28 09:12:48"
"ml_data_preprocessing","ml_data_preprocessing\ml_practice.py",".py","3006","2026-05-27 17:46:50"
"ml_data_preprocessing","ml_data_preprocessing\ml_practice2.py",".py","4302","2026-05-27 17:46:57"
"ml_data_preprocessing","ml_data_preprocessing\ML_sample_torch.py",".py","10678","2026-05-27 21:44:22"
"ml_data_preprocessing","ml_data_preprocessing\README.md",".md","519","2026-05-27 10:38:03"
"ml_data_preprocessing","ml_data_preprocessing\데이터전처리_codes.zip",".zip","4097","2026-05-27 10:37:18"
